Rk,Wk,Winner,WPts,,Loser,LPts
305,5,Texas Christian,0,@,Southern Methodist,0
306,5,Texas Southern,0,@,Texas-San Antonio,0
307,5,Toledo,0,@,San Diego State,0
308,5,Tulsa,0,@,(21) Mississippi,0
309,5,UCLA,0,@,Colorado,0
310,5,(7) Utah,0,@,Arizona State,0
311,5,Vanderbilt,0,@,(1) Alabama,0
312,5,Western Michigan,0,@,San Jose State,0
313,5,(18) Wisconsin,0,@,(2) Ohio State,0
314,5,Wyoming,0,@,(25) Brigham Young,0
315,6,Utah State,0,@,(25) Brigham Young,0
316,6,New Mexico,0,@,Nevada-Las Vegas,0
317,6,San Diego State,0,@,Boise State,0
318,6,Texas-San Antonio,0,@,Middle Tennessee State,0
319,6,Tulane,0,@,(24) Houston,0
320,6,Washington,0,@,UCLA,0
321,6,(1) Alabama,0,@,(19) Arkansas,0
322,6,Alabama-Birmingham,0,@,Rice,0
323,6,Arizona State,0,@,(14) Southern California,0
324,6,Bowling Green,0,@,Akron,0
325,6,California,0,@,Washington State,0
326,6,Central Michigan,0,@,Toledo,0
327,6,(23) Cincinnati,0,@,Tulsa,0
328,6,Citadel,0,@,Appalachian State,0
329,6,Colorado,0,@,Arizona,0
330,6,East Carolina,0,@,South Florida,0
331,6,Eastern Washington,0,@,Florida,0
332,6,Florida Atlantic,0,@,North Texas,0
333,6,Florida International,0,@,New Mexico State,0
334,6,Fresno State,0,@,Connecticut,0
335,6,Gardner-Webb,0,@,Marshall,0
336,6,(3) Georgia,0,@,Missouri,0
337,6,Georgia Southern,0,@,Coastal Carolina,0
338,6,Georgia State,0,@,Army,0
339,6,Georgia Tech,0,@,(17) Pittsburgh,0
340,6,Illinois,0,@,(18) Wisconsin,0
341,6,Indiana,0,@,Nebraska,0
342,6,Iowa State,0,@,Kansas,0
343,6,(20) Kentucky,0,@,(21) Mississippi,0
344,6,Liberty,0,@,Old Dominion,0
345,6,Louisiana State,0,@,Auburn,0
346,6,Louisiana-Monroe,0,@,Arkansas State,0
347,6,Louisville,0,@,Boston College,0
348,6,Massachusetts,0,@,Eastern Michigan,0
349,6,Miami (OH),0,@,Buffalo,0
350,6,(8) Michigan,0,@,Iowa,0
351,6,(15) Michigan State,0,@,Maryland,0
352,6,Navy,0,@,Air Force,0
353,6,New Hampshire,0,@,Western Michigan,0
354,6,(13) North Carolina State,0,@,(4) Clemson,0
355,6,Northern Illinois,0,@,Ball State,0
356,6,Northwestern,0,@,Penn State,0
357,6,Ohio,0,@,Kent State,0
358,6,(9) Oklahoma,0,@,Texas Christian,0
359,6,(12) Oklahoma State,0,@,(10) Baylor,0
360,6,Oregon State,0,@,(7) Utah,0
361,6,Purdue,0,@,Minnesota,0
362,6,Rutgers,0,@,(2) Ohio State,0
363,6,San Jose State,0,@,Wyoming,0
