Rk,Wk,Winner,WPts,Loc,Loser,LPts
463,8,(9) Texas Tech,42,,Kansas,17
464,8,Texas-San Antonio,61,,Rice,13
465,8,Troy,48,@,Texas State,41
466,8,UCLA,38,@,Michigan State,13
467,8,Utah,42,,(21) Arizona State,10
468,8,Wake Forest,39,@,Oregon State,14
469,8,Western Michigan,42,,Ball State,0
470,8,Wyoming,35,,San Jose State,28
471,8,Hawaii,44,,Utah State,26
472,9,Arkansas State,15,@,South Alabama,14
473,9,Florida International,25,@,Western Kentucky,6
474,9,Liberty,30,,New Mexico State,27
475,9,Jacksonville State,38,,Delaware,25
476,9,Texas-El Paso,35,@,Sam Houston,17
477,9,East Carolina,41,,Tulsa,27
478,9,California,21,,North Carolina,18
479,9,Louisville,24,@,(2) Miami (FL),21
480,9,Minnesota,24,,(25) Nebraska,6
481,9,Utah State,30,,San Jose State,25
482,9,Air Force,24,,Wyoming,21
483,9,(6) Alabama,37,,(11) Tennessee,20
484,9,Alabama-Birmingham,31,,(22) Memphis,24
485,9,Arizona State,26,,(7) Texas Tech,22
486,9,Ball State,42,,Akron,28
487,9,Boise State,56,,Nevada-Las Vegas,31
488,9,(15) Brigham Young,24,,(23) Utah,21
489,9,Buffalo,28,@,Massachusetts,21
490,9,Central Florida,45,,West Virginia,13
491,9,Central Michigan,27,@,Bowling Green,6
492,9,(24) Cincinnati,49,@,Oklahoma State,17
493,9,Coastal Carolina,45,@,Appalachian State,37
494,9,Connecticut,38,@,Boston College,23
495,9,Florida,23,,Mississippi State,21
496,9,(9) Georgia,43,,(5) Mississippi,35
497,9,Georgia Southern,41,,Georgia State,24
498,9,(12) Georgia Tech,27,@,Duke,18
499,9,Hawaii,31,@,Colorado State,19
500,9,Houston,31,,Arizona,28
501,9,(3) Indiana,38,,Michigan State,13
502,9,Iowa,25,,Penn State,24
503,9,James Madison,63,,Old Dominion,27
504,9,Marshall,40,,Texas State,37
505,9,Miami (OH),44,,Eastern Michigan,30
506,9,Michigan,24,,Washington,7
507,9,(16) Missouri,23,@,Auburn,17
508,9,New Mexico,24,,Nevada,22
509,9,North Texas,55,,Texas-San Antonio,17
510,9,Northwestern,19,,Purdue,0
511,9,(13) Notre Dame,34,,(20) Southern California,24
512,9,Ohio,48,,Northern Illinois,21
513,9,(1) Ohio State,34,@,Wisconsin,0
514,9,(14) Oklahoma,26,@,South Carolina,7
515,9,(8) Oregon,56,@,Rutgers,10
516,9,Oregon State,45,,Lafayette,13
517,9,Pittsburgh,30,@,Syracuse,13
518,9,(19) South Florida,48,,Florida Atlantic,13
519,9,Southern Methodist,35,@,Clemson,24
520,9,Southern Mississippi,22,@,Louisiana,10
521,9,Stanford,20,,Florida State,13
522,9,Temple,49,@,Charlotte,14
523,9,(21) Texas,16,@,Kentucky,13
524,9,(4) Texas A&M,45,@,Arkansas,42
525,9,Texas Christian,42,,Baylor,36
526,9,Toledo,45,,Kent State,10
527,9,Troy,37,@,Louisiana-Monroe,14
528,9,Tulane,24,,Army,17
529,9,UCLA,20,,Maryland,17
530,9,(17) Vanderbilt,31,,(10) Louisiana State,24
531,9,(18) Virginia,22,,Washington State,20
532,10,Kennesaw State,45,@,Florida International,26
533,10,Western Kentucky,28,@,Louisiana Tech,27
534,10,Delaware,31,,Middle Tennessee State,28
535,10,Missouri State,24,@,New Mexico State,17
536,10,South Alabama,38,@,Georgia State,31
537,10,Boise State,24,@,Nevada,3
538,10,North Texas,54,@,Charlotte,20
539,10,Virginia Tech,42,,California,34
540,10,Akron,24,@,Buffalo,16
541,10,(4) Alabama,29,@,South Carolina,22
542,10,Arkansas State,34,,Georgia Southern,24
543,10,Auburn,33,@,Arkansas,24
544,10,(11) Brigham Young,41,@,Iowa State,27
545,10,Central Michigan,38,,Massachusetts,13
546,10,(21) Cincinnati,41,,Baylor,20
547,10,(7) Georgia Tech,41,,Syracuse,16
548,10,Houston,24,@,(24) Arizona State,16
549,10,(2) Indiana,56,,UCLA,6
550,10,Iowa,41,,Minnesota,3
551,10,Kansas State,42,@,Kansas,17
552,10,Kent State,24,,Bowling Green,21
553,10,(19) Louisville,38,,Boston College,24
554,10,Memphis,34,,(18) South Florida,31
555,10,(9) Miami (FL),42,,Stanford,7
556,10,Miami (OH),26,,Western Michigan,17
557,10,(25) Michigan,31,@,Michigan State,20
558,10,(8) Mississippi,34,@,(13) Oklahoma,26
559,10,Navy,42,,Florida Atlantic,32
560,10,Nebraska,28,,Northwestern,21
561,10,New Mexico,33,,Utah State,14
562,10,Northern Illinois,21,,Ball State,7
563,10,Ohio,28,@,Eastern Michigan,21
564,10,Old Dominion,24,,Appalachian State,21
565,10,(6) Oregon,21,,Wisconsin,7
566,10,Pittsburgh,53,,North Carolina State,34
567,10,Rice,37,,Connecticut,34
568,10,Rutgers,27,@,Purdue,24
569,10,San Diego State,23,@,Fresno State,0
570,10,Southern Mississippi,49,,Louisiana-Monroe,21
571,10,Temple,38,@,Tulsa,37
572,10,(17) Tennessee,56,@,Kentucky,34
573,10,(22) Texas,45,@,Mississippi State,38
574,10,(3) Texas A&M,49,@,(20) Louisiana State,25
575,10,Texas Christian,23,@,West Virginia,17
576,10,(14) Texas Tech,42,,Oklahoma State,0
577,10,Troy,35,,Louisiana,23
578,10,Utah,53,,Colorado,7
579,10,(10) Vanderbilt,17,,(15) Missouri,10
580,10,(16) Virginia,17,@,North Carolina,16
581,10,Wake Forest,13,,Southern Methodist,12
582,10,Washington,42,,(23) Illinois,25
583,10,Washington State,28,,Toledo,7
584,10,Wyoming,28,,Colorado State,0
585,11,James Madison,52,@,Texas State,20
586,11,Kennesaw State,33,,Texas-El Paso,20
587,11,Jacksonville State,24,@,Middle Tennessee State,21
588,11,Missouri State,28,,Florida International,21
589,11,Coastal Carolina,44,,Marshall,27
590,11,Texas-San Antonio,48,,Tulane,26
591,11,Louisiana Tech,55,,Sam Houston,14
592,11,(25) Memphis,38,@,Rice,14
593,11,North Carolina,27,@,Syracuse,10
594,11,Arizona,52,@,Colorado,17
595,11,Arizona State,24,@,Iowa State,19
596,11,Arkansas State,23,@,Troy,10
597,11,Army,20,@,Air Force,17
598,11,Baylor,30,,Central Florida,3
599,11,Buffalo,28,@,Bowling Green,3
600,11,Connecticut,38,,Alabama-Birmingham,19
601,11,Duke,46,@,Clemson,45
602,11,East Carolina,45,@,Temple,14
603,11,Florida State,42,,Wake Forest,7
604,11,Fresno State,30,@,Boise State,7
605,11,(5) Georgia,24,N,Florida,20
606,11,Illinois,35,,Rutgers,13
607,11,(2) Indiana,55,@,Maryland,10
608,11,Kansas,38,,Oklahoma State,21
609,11,Kentucky,10,@,Auburn,3
610,11,Liberty,59,,Delaware,30
611,11,Louisiana,31,@,South Alabama,22
612,11,(16) Louisville,28,@,Virginia Tech,16
