Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
93,3,Sep 7 2019,10:45 PM,Sat,Arizona,65,,Northern Arizona,41,
94,3,Sep 7 2019,10:00 PM,Sat,Arkansas State,43,@,Nevada-Las Vegas,17,
95,3,Sep 7 2019,7:30 PM,Sat,(10) Auburn,24,,Tulane,6,
96,3,Sep 7 2019,2:00 PM,Sat,Ball State,57,,Fordham,29,
97,3,Sep 7 2019,4:00 PM,Sat,Baylor,63,,Texas-San Antonio,14,
98,3,Sep 7 2019,3:30 PM,Sat,Boston College,45,,Richmond,13,
99,3,Sep 7 2019,7:00 PM,Sat,Brigham Young,29,@,Tennessee,26,
100,3,Sep 7 2019,10:30 PM,Sat,California,20,@,(14) Washington,19,
101,3,Sep 7 2019,7:00 PM,Sat,(18) Central Florida,48,@,Florida Atlantic,14,
102,3,Sep 7 2019,3:30 PM,Sat,(1) Clemson,24,,(12) Texas A&M,10,
103,3,Sep 7 2019,7:00 PM,Sat,Coastal Carolina,12,@,Kansas,7,
104,3,Sep 7 2019,3:30 PM,Sat,Colorado,34,,(25) Nebraska,31,
105,3,Sep 7 2019,4:00 PM,Sat,Colorado State,38,,Western Illinois,13,
106,3,Sep 7 2019,6:00 PM,Sat,Duke,45,,North Carolina A&T,13,
107,3,Sep 7 2019,6:00 PM,Sat,East Carolina,48,,Gardner-Webb,9,
108,3,Sep 7 2019,7:30 PM,Sat,(11) Florida,45,,Tennessee-Martin,0,
109,3,Sep 7 2019,5:00 PM,Sat,Florida State,45,,Louisiana-Monroe,44,
110,3,Sep 7 2019,4:00 PM,Sat,(3) Georgia,63,,Murray State,17,
111,3,Sep 7 2019,6:00 PM,Sat,Georgia Southern,26,,Maine,18,
112,3,Sep 7 2019,7:00 PM,Sat,Georgia State,48,,Furman,42,
113,3,Sep 7 2019,2:00 PM,Sat,Georgia Tech,14,,South Florida,10,
114,3,Sep 7 2019,11:59 PM,Sat,Hawaii,31,,Oregon State,28,
115,3,Sep 7 2019,8:00 PM,Sat,Houston,37,,Prairie View A&M,17,
116,3,Sep 7 2019,3:30 PM,Sat,Illinois,31,@,Connecticut,23,
117,3,Sep 7 2019,3:30 PM,Sat,Indiana,52,,Eastern Illinois,0,
118,3,Sep 7 2019,12:00 PM,Sat,(20) Iowa,30,,Rutgers,0,
119,3,Sep 7 2019,12:00 PM,Sat,Kansas State,52,,Bowling Green State,0,
120,3,Sep 7 2019,12:00 PM,Sat,Kent State,26,,Kennesaw State,23,
121,3,Sep 7 2019,7:30 PM,Sat,Kentucky,38,,Eastern Michigan,17,
122,3,Sep 7 2019,7:30 PM,Sat,Louisiana,35,,Liberty,14,
123,3,Sep 7 2019,7:30 PM,Sat,(6) Louisiana State,45,@,(9) Texas,38,
124,3,Sep 7 2019,3:30 PM,Sat,Louisiana Tech,20,,Grambling State,14,
125,3,Sep 7 2019,7:00 PM,Sat,Louisville,42,,Eastern Kentucky,0,
126,3,Sep 7 2019,12:00 PM,Sat,Maryland,63,,(21) Syracuse,20,
127,3,Sep 7 2019,12:00 PM,Sat,Memphis,55,,Southern,24,
128,3,Sep 7 2019,2:30 PM,Sat,Miami (OH),48,,Tennessee Tech,17,
129,3,Sep 7 2019,12:00 PM,Sat,(7) Michigan,24,,Army,21,
130,3,Sep 7 2019,7:30 PM,Sat,(19) Michigan State,51,,Western Michigan,17,
131,3,Sep 7 2019,7:00 PM,Sat,Middle Tennessee State,45,,Tennessee State,26,
132,3,Sep 7 2019,10:30 PM,Sat,Minnesota,38,@,Fresno State,35,
133,3,Sep 7 2019,7:30 PM,Sat,Mississippi,31,,Arkansas,17,
134,3,Sep 7 2019,3:30 PM,Sat,Mississippi State,38,,Southern Mississippi,15,
135,3,Sep 7 2019,12:00 PM,Sat,Missouri,38,,West Virginia,7,
136,3,Sep 7 2019,8:00 PM,Sat,North Carolina,28,,Miami (FL),25,
137,3,Sep 7 2019,12:30 PM,Sat,North Carolina State,41,,Western Carolina,0,
138,3,Sep 7 2019,12:00 PM,Sat,(5) Ohio State,42,,Cincinnati,0,
139,3,Sep 7 2019,7:00 PM,Sat,(4) Oklahoma,70,,South Dakota,14,
140,3,Sep 7 2019,7:00 PM,Sat,Oklahoma State,56,,McNeese State,14,
141,3,Sep 7 2019,7:30 PM,Sat,(16) Oregon,77,,Nevada,6,
142,3,Sep 7 2019,7:30 PM,Sat,(15) Penn State,45,,Buffalo,13,
143,3,Sep 7 2019,11:00 AM,Sat,Pittsburgh,20,,Ohio,10,
144,3,Sep 7 2019,12:00 PM,Sat,Purdue,42,,Vanderbilt,24,
145,3,Sep 7 2019,4:15 PM,Sat,San Diego State,23,@,UCLA,14,
146,3,Sep 7 2019,7:00 PM,Sat,South Alabama,37,,Jackson State,14,
147,3,Sep 7 2019,12:00 PM,Sat,South Carolina,72,,Charleston Southern,10,
148,3,Sep 7 2019,10:30 PM,Sat,Southern California,45,,(23) Stanford,20,
149,3,Sep 7 2019,3:30 PM,Sat,Southern Illinois,45,@,Massachusetts,20,
150,3,Sep 7 2019,7:00 PM,Sat,Southern Methodist,49,,North Texas,27,
151,3,Sep 7 2019,8:00 PM,Sat,Texas Tech,38,,Texas-El Paso,3,
152,3,Sep 7 2019,9:00 PM,Sat,Tulsa,34,@,San Jose State,16,
153,3,Sep 7 2019,1:00 PM,Sat,(13) Utah,35,,Northern Illinois,17,
154,3,Sep 7 2019,7:30 PM,Sat,Utah State,62,,Stony Brook,7,
155,3,Sep 7 2019,12:00 PM,Sat,Virginia Tech,31,,Old Dominion,17,
156,3,Sep 7 2019,5:00 PM,Sat,(22) Washington State,59,,Northern Colorado,17,
157,3,Sep 7 2019,7:00 PM,Sat,Western Kentucky,20,@,Florida International,14,
158,3,Sep 7 2019,3:30 PM,Sat,(17) Wisconsin,61,,Central Michigan,0,
159,3,Sep 7 2019,7:00 PM,Sat,Wyoming,23,@,Texas State,14,
160,4,Sep 13 2019,7:30 PM,Fri,Kansas,48,@,Boston College,24,
161,4,Sep 13 2019,6:00 PM,Fri,Wake Forest,24,,North Carolina,18,BB&T Field - Winston-Salem North Carolina
162,4,Sep 13 2019,9:15 PM,Fri,(20) Washington State,31,,Houston,24,NRG Stadium - Houston Texas
163,4,Sep 14 2019,1:00 PM,Sat,Air Force,30,@,Colorado,23,
164,4,Sep 14 2019,3:30 PM,Sat,(2) Alabama,47,@,South Carolina,23,
165,4,Sep 14 2019,10:30 PM,Sat,Arizona,28,,Texas Tech,14,
166,4,Sep 14 2019,4:00 PM,Sat,Arizona State,10,@,(18) Michigan State,7,
167,4,Sep 14 2019,4:00 PM,Sat,Arkansas,55,,Colorado State,34,
168,4,Sep 14 2019,3:30 PM,Sat,Army,31,@,Texas-San Antonio,13,
169,4,Sep 14 2019,7:00 PM,Sat,(8) Auburn,55,,Kent State,16,
170,4,Sep 14 2019,10:15 PM,Sat,(22) Boise State,45,,Portland State,10,
171,4,Sep 14 2019,3:30 PM,Sat,Brigham Young,30,,(24) Southern California,27,
172,4,Sep 14 2019,4:15 PM,Sat,California,23,,North Texas,17,
173,4,Sep 14 2019,3:30 PM,Sat,(17) Central Florida,45,,Stanford,27,
174,4,Sep 14 2019,3:00 PM,Sat,Central Michigan,45,,Akron,24,
175,4,Sep 14 2019,6:00 PM,Sat,Charlotte,52,,Massachusetts,17,
176,4,Sep 14 2019,12:00 PM,Sat,Cincinnati,35,,Miami (OH),13,
177,4,Sep 14 2019,12:30 PM,Sat,Citadel,27,@,Georgia Tech,24,
178,4,Sep 14 2019,7:30 PM,Sat,(1) Clemson,41,@,Syracuse,6,
179,4,Sep 14 2019,2:00 PM,Sat,Coastal Carolina,46,,Norfolk State,7,
180,4,Sep 14 2019,7:00 PM,Sat,Duke,41,@,Middle Tennessee State,18,
181,4,Sep 14 2019,12:00 PM,Sat,Eastern Michigan,34,@,Illinois,31,
182,4,Sep 14 2019,7:00 PM,Sat,(9) Florida,29,@,Kentucky,21,
183,4,Sep 14 2019,2:00 PM,Sat,Florida Atlantic,41,@,Ball State,31,
184,4,Sep 14 2019,7:00 PM,Sat,Florida International,30,,New Hampshire,17,
185,4,Sep 14 2019,12:00 PM,Sat,(3) Georgia,55,,Arkansas State,0,
186,4,Sep 14 2019,4:00 PM,Sat,(19) Iowa,18,@,Iowa State,17,
187,4,Sep 14 2019,12:00 PM,Sat,Kansas State,31,@,Mississippi State,24,
188,4,Sep 14 2019,6:00 PM,Sat,Liberty,35,,Buffalo,17,
189,4,Sep 14 2019,7:30 PM,Sat,Louisiana,77,,Texas Southern,6,
190,4,Sep 14 2019,7:30 PM,Sat,(4) Louisiana State,65,,Northwestern State,14,
191,4,Sep 14 2019,5:00 PM,Sat,Louisiana Tech,35,@,Bowling Green State,7,
192,4,Sep 14 2019,4:00 PM,Sat,Louisville,38,,Western Kentucky,21,Nissan Stadium - Nashville Tennessee
193,4,Sep 14 2019,6:30 PM,Sat,Marshall,33,,Ohio,31,
194,4,Sep 14 2019,3:30 PM,Sat,Memphis,42,@,South Alabama,6,
195,4,Sep 14 2019,4:00 PM,Sat,Miami (FL),63,,Bethune-Cookman,0,
196,4,Sep 14 2019,3:30 PM,Sat,Minnesota,35,,Georgia Southern,32,
197,4,Sep 14 2019,4:00 PM,Sat,Mississippi,40,,Southeastern Louisiana,29,
198,4,Sep 14 2019,7:30 PM,Sat,Missouri,50,,Southeast Missouri State,0,
199,4,Sep 14 2019,3:30 PM,Sat,Navy,42,,East Carolina,10,
200,4,Sep 14 2019,8:00 PM,Sat,Nebraska,44,,Northern Illinois,8,
201,4,Sep 14 2019,7:00 PM,Sat,Nevada,19,,Weber State,13,
202,4,Sep 14 2019,3:30 PM,Sat,Northwestern,30,,Nevada-Las Vegas,14,
203,4,Sep 14 2019,2:30 PM,Sat,(7) Notre Dame,66,,New Mexico,14,
204,4,Sep 14 2019,12:00 PM,Sat,(6) Ohio State,51,@,Indiana,10,
205,4,Sep 14 2019,8:00 PM,Sat,(5) Oklahoma,48,@,UCLA,14,
206,4,Sep 14 2019,3:30 PM,Sat,Oklahoma State,40,@,Tulsa,21,
207,4,Sep 14 2019,10:45 PM,Sat,(15) Oregon,35,,Montana,3,
208,4,Sep 14 2019,4:15 PM,Sat,Oregon State,45,,Cal Poly,7,
209,4,Sep 14 2019,12:00 PM,Sat,(13) Penn State,17,,Pittsburgh,10,
210,4,Sep 14 2019,8:00 PM,Sat,San Diego State,31,@,New Mexico State,10,
211,4,Sep 14 2019,6:00 PM,Sat,South Florida,55,,South Carolina State,16,
212,4,Sep 14 2019,7:00 PM,Sat,Southern Methodist,47,,Texas State,17,
213,4,Sep 14 2019,6:00 PM,Sat,Southern Mississippi,47,@,Troy,42,
214,4,Sep 14 2019,12:00 PM,Sat,Temple,20,,(21) Maryland,17,
215,4,Sep 14 2019,12:00 PM,Sat,Tennessee,45,,Chattanooga,0,
216,4,Sep 14 2019,8:00 PM,Sat,(12) Texas,48,,Rice,13,NRG Stadium - Houston Texas
217,4,Sep 14 2019,7:00 PM,Sat,(16) Texas A&M,62,,Lamar,3,
218,4,Sep 14 2019,7:30 PM,Sat,Texas Christian,34,@,Purdue,13,
219,4,Sep 14 2019,7:00 PM,Sat,Toledo,45,,Murray State,0,
220,4,Sep 14 2019,8:00 PM,Sat,Tulane,58,,Missouri State,6,
221,4,Sep 14 2019,4:15 PM,Sat,(11) Utah,31,,Idaho State,0,
222,4,Sep 14 2019,7:30 PM,Sat,(25) Virginia,31,,Florida State,24,
223,4,Sep 14 2019,12:00 PM,Sat,Virginia Tech,24,,Furman,17,
224,4,Sep 14 2019,7:30 PM,Sat,(23) Washington,52,,Hawaii,20,
225,4,Sep 14 2019,12:00 PM,Sat,West Virginia,44,,North Carolina State,27,
226,4,Sep 14 2019,7:00 PM,Sat,Western Michigan,57,,Georgia State,10,
227,4,Sep 14 2019,5:00 PM,Sat,Wyoming,21,,Idaho,16,
228,5,Sep 19 2019,8:00 PM,Thu,Tulane,38,,Houston,31,
229,5,Sep 20 2019,9:00 PM,Fri,(20) Boise State,30,,Air Force,19,
230,5,Sep 20 2019,9:00 PM,Fri,Southern California,30,,(10) Utah,23,
231,5,Sep 21 2019,12:00 PM,Sat,(2) Alabama,49,,Southern Mississippi,7,
232,5,Sep 21 2019,3:30 PM,Sat,Alabama-Birmingham,35,,South Alabama,3,
233,5,Sep 21 2019,3:30 PM,Sat,Appalachian State,34,@,North Carolina,31,
234,5,Sep 21 2019,7:00 PM,Sat,Arkansas State,41,,Southern Illinois,28,
235,5,Sep 21 2019,12:00 PM,Sat,Army,52,,Morgan State,21,
236,5,Sep 21 2019,3:30 PM,Sat,(8) Auburn,28,@,(17) Texas A&M,20,
237,5,Sep 21 2019,7:00 PM,Sat,Baylor,21,@,Rice,13,
238,5,Sep 21 2019,12:00 PM,Sat,Boston College,30,@,Rutgers,16,
239,5,Sep 21 2019,3:30 PM,Sat,Buffalo,38,,Temple,22,
240,5,Sep 21 2019,12:00 PM,Sat,(23) California,28,@,Mississippi,20,
241,5,Sep 21 2019,7:30 PM,Sat,(1) Clemson,52,,Charlotte,10,
242,5,Sep 21 2019,1:00 PM,Sat,Coastal Carolina,62,@,Massachusetts,28,
243,5,Sep 21 2019,10:00 PM,Sat,Colorado,34,@,(24) Arizona State,31,
244,5,Sep 21 2019,6:00 PM,Sat,East Carolina,19,,William & Mary,7,
245,5,Sep 21 2019,3:00 PM,Sat,Eastern Michigan,34,,Central Connecticut State,29,
246,5,Sep 21 2019,12:00 PM,Sat,(9) Florida,34,,Tennessee,3,
247,5,Sep 21 2019,6:00 PM,Sat,Florida Atlantic,42,,Wagner,7,
248,5,Sep 21 2019,3:30 PM,Sat,Florida State,35,,Louisville,24,
249,5,Sep 21 2019,10:00 PM,Sat,Fresno State,34,,Sacramento State,20,
250,5,Sep 21 2019,8:00 PM,Sat,(3) Georgia,23,,(7) Notre Dame,17,
251,5,Sep 21 2019,11:59 PM,Sat,Hawaii,35,,Central Arkansas,16,
252,5,Sep 21 2019,12:00 PM,Sat,Indiana,38,,Connecticut,3,
253,5,Sep 21 2019,12:00 PM,Sat,Iowa State,72,,Louisiana-Monroe,20,
